"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"swtkit",NA,"54","Elanoides forficatus","Swallow-tailed Kite",2023,7699
"blheag1",NA,"1","Spizaetus tyrannus","Black Hawk-Eagle",2023,7840
"goleag",NA,"153","Aquila chrysaetos","Golden Eagle",2023,7875
"miskit",NA,"9","Ictinia mississippiensis","Mississippi Kite",2023,7926
"wemhar1",NA,"1","Circus aeruginosus","Western Marsh Harrier",2023,7933
"swahar1",NA,"1","Circus approximans","Swamp Harrier",2023,7941
"norhar1",NA,"1","Circus cyaneus","Hen Harrier",2023,7949
"norhar2",NA,"1805","Circus hudsonius","Northern Harrier",2023,7950
"norhar",NA,"42","Circus cyaneus/hudsonius","Hen/Northern Harrier",2023,7951
"shshaw",NA,"26472","Accipiter striatus","Sharp-shinned Hawk",2023,8109
"shshaw2","shshaw","3","Accipiter striatus [velox Group]","Sharp-shinned Hawk (Northern)",2023,8114
"coohaw",NA,"30415","Accipiter cooperii","Cooper's Hawk",2023,8122
"y00612",NA,"8","Accipiter striatus/cooperii","Sharp-shinned/Cooper's Hawk",2023,8123
"norgos",NA,"1446","Accipiter atricapillus","American Goshawk",2023,8149
"y00666",NA,"3","Accipiter cooperii/atricapillus","Cooper's Hawk/American Goshawk",2023,8154
"accipi",NA,"850","Accipiter sp.","Accipiter sp.",2023,8157
"whteag",NA,"1","Haliaeetus albicilla","White-tailed Eagle",2023,8186
"baleag",NA,"2214","Haliaeetus leucocephalus","Bald Eagle",2023,8187
"crahaw",NA,"1","Geranospiza caerulescens","Crane Hawk",2023,8202
"comblh1",NA,"5","Buteogallus anthracinus","Common Black Hawk",2023,8213
"hrshaw",NA,"102","Parabuteo unicinctus","Harris's Hawk",2023,8250
"whthaw",NA,"1","Geranoaetus albicaudatus","White-tailed Hawk",2023,8254
"gryhaw2",NA,"13","Buteo plagiatus","Gray Hawk",2023,8278
"reshaw",NA,"6994","Buteo lineatus","Red-shouldered Hawk",2023,8284
"reshaw5","reshaw","311","Buteo lineatus [lineatus Group]","Red-shouldered Hawk (lineatus Group)",2023,8285
"reshaw2","reshaw","24","Buteo lineatus extimus","Red-shouldered Hawk (extimus)",2023,8289
"reshaw4","reshaw","65","Buteo lineatus elegans","Red-shouldered Hawk (elegans)",2023,8290
"brwhaw",NA,"539","Buteo platypterus","Broad-winged Hawk",2023,8293
"brwhaw1","brwhaw","3","Buteo platypterus platypterus","Broad-winged Hawk (Northern)",2023,8294
"shthaw",NA,"17","Buteo brachyurus","Short-tailed Hawk",2023,8304
"swahaw",NA,"86","Buteo swainsoni","Swainson's Hawk",2023,8308
"zothaw",NA,"11","Buteo albonotatus","Zone-tailed Hawk",2023,8310
"rethaw",NA,"15957","Buteo jamaicensis","Red-tailed Hawk",2023,8312
"wrthaw1","rethaw","120","Buteo jamaicensis calurus/alascensis","Red-tailed Hawk (calurus/alascensis)",2023,8313
"erthaw1","rethaw","324","Buteo jamaicensis borealis","Red-tailed Hawk (borealis)",2023,8316
"rethaw4","rethaw","16","Buteo jamaicensis abieticola","Red-tailed Hawk (abieticola)",2023,8317
"hrthaw1","rethaw","2","Buteo jamaicensis harlani","Red-tailed Hawk (Harlan's)",2023,8319
"krthaw1","rethaw","5","Buteo jamaicensis kriderii","Red-tailed Hawk (Krider's)",2023,8320
"rethaw2","rethaw","3","Buteo jamaicensis jamaicensis","Red-tailed Hawk (jamaicensis)",2023,8329
"rethaw3","rethaw","1","Buteo jamaicensis solitudinis","Red-tailed Hawk (solitudinis)",2023,8330
"rolhaw",NA,"353","Buteo lagopus","Rough-legged Hawk",2023,8332
"ferhaw",NA,"57","Buteo regalis","Ferruginous Hawk",2023,8339
"combuz1",NA,"12","Buteo buteo","Common Buzzard",2023,8341
"buteo",NA,"7","Buteo sp.","Buteo sp.",2023,8377
"y00221",NA,"1","Buteo/eagle sp.","Buteo/eagle sp.",2023,8379
"hawk",NA,"391","Accipitridae sp. (hawk sp.)","hawk sp.",2023,8380
"eagle1",NA,"6","Accipitridae sp. (eagle sp.)","eagle sp.",2023,8381
"brnowl",NA,"110","Tyto alba","Barn Owl",2023,8416
"wesowl1",NA,"102","Megascops kennicottii","Western Screech-Owl",2023,8653
"easowl1",NA,"676","Megascops asio","Eastern Screech-Owl",2023,8664
"eassco1","easowl1","6","Megascops asio [asio Group]","Eastern Screech-Owl (Northern)",2023,8665
"screec1",NA,"14","Megascops sp.","screech-owl sp.",2023,8681
"snoowl1",NA,"99","Bubo scandiacus","Snowy Owl",2023,8704
"grhowl",NA,"1652","Bubo virginianus","Great Horned Owl",2023,8705
"nohowl",NA,"41","Surnia ulula","Northern Hawk Owl",2023,8792
"nopowl",NA,"327","Glaucidium gnoma","Northern Pygmy-Owl",2023,8804
"moupyo1","nopowl","4","Glaucidium gnoma gnoma","Northern Pygmy-Owl (Mountain)",2023,8805
"norpyo1","nopowl","3","Glaucidium gnoma [californicum Group]","Northern Pygmy-Owl (Pacific)",2023,8806
"norpyo2","nopowl","4","Glaucidium gnoma pinicola","Northern Pygmy-Owl (Rocky Mts.)",2023,8810
"fepowl",NA,"1","Glaucidium brasilianum","Ferruginous Pygmy-Owl",2023,8830
"burowl",NA,"3","Athene cunicularia","Burrowing Owl",2023,8926
"motowl",NA,"1","Strix virgata","Mottled Owl",2023,8950
"spoowl",NA,"1","Strix occidentalis","Spotted Owl",2023,9007
"brdowl",NA,"2047","Strix varia","Barred Owl",2023,9011
"x00439",NA,"4","Strix occidentalis x varia","Spotted x Barred Owl (hybrid)",2023,9015
"grgowl",NA,"87","Strix nebulosa","Great Gray Owl",2023,9035
"loeowl",NA,"41","Asio otus","Long-eared Owl",2023,9045
"sheowl",NA,"30","Asio flammeus","Short-eared Owl",2023,9068
"borowl",NA,"38","Aegolius funereus","Boreal Owl",2023,9088
"nswowl",NA,"191","Aegolius acadicus","Northern Saw-whet Owl",2023,9096
"owl1",NA,"7","Strigiformes sp.","owl sp.",2023,9193
"cittro1",NA,"1","Trogon citreolus","Citreoline Trogon",2023,9327
"eletro",NA,"1","Trogon elegans","Elegant Trogon",2023,9358
"rucmot1",NA,"1","Momotus mexicanus","Russet-crowned Motmot",2023,9569
"rinkin1",NA,"6","Megaceryle torquata","Ringed Kingfisher",2023,10017
"belkin1",NA,"866","Megaceryle alcyon","Belted Kingfisher",2023,10022
"grnkin",NA,"3","Chloroceryle americana","Green Kingfisher",2023,10032
"kingfi1",NA,"3","Alcedinidae sp.","kingfisher sp.",2023,10042
"wilsap",NA,"96","Sphyrapicus thyroideus","Williamson's Sapsucker",2023,10904
"yebsap",NA,"13784","Sphyrapicus varius","Yellow-bellied Sapsucker",2023,10907
"rensap",NA,"356","Sphyrapicus nuchalis","Red-naped Sapsucker",2023,10908
"y00019",NA,"13","Sphyrapicus varius/nuchalis","Yellow-bellied/Red-naped Sapsucker",2023,10910
"rebsap",NA,"1586","Sphyrapicus ruber","Red-breasted Sapsucker",2023,10911
"x00712",NA,"2","Sphyrapicus varius x ruber","Yellow-bellied x Red-breasted Sapsucker (hybrid)",2023,10914
"rnxsap1",NA,"1","Sphyrapicus nuchalis x ruber","Red-naped x Red-breasted Sapsucker (hybrid)",2023,10915
"sapsuc",NA,"5","Sphyrapicus sp.","sapsucker sp.",2023,10918
"lewwoo",NA,"159","Melanerpes lewis","Lewis's Woodpecker",2023,10923
"rehwoo",NA,"8982","Melanerpes erythrocephalus","Red-headed Woodpecker",2023,10926
"acowoo",NA,"1623","Melanerpes formicivorus","Acorn Woodpecker",2023,10927
"yefwoo1",NA,"1","Melanerpes flavifrons","Yellow-fronted Woodpecker",2023,10938
"gocwoo1",NA,"1","Melanerpes chrysogenys","Golden-cheeked Woodpecker",2023,10944
"gilwoo",NA,"655","Melanerpes uropygialis","Gila Woodpecker",2023,10957
"gofwoo",NA,"563","Melanerpes aurifrons","Golden-fronted Woodpecker",2023,10963
"rebwoo",NA,"54013","Melanerpes carolinus","Red-bellied Woodpecker",2023,10979
"attwoo1",NA,"82","Picoides dorsalis","American Three-toed Woodpecker",2023,10996
"attwoo2","attwoo1","1","Picoides dorsalis dorsalis","American Three-toed Woodpecker (Rocky Mts.)",2023,10997
"attwoo3","attwoo1","1","Picoides dorsalis fasciatus","American Three-toed Woodpecker (Northwest)",2023,10998
"attwoo4","attwoo1","2","Picoides dorsalis bacatus","American Three-toed Woodpecker (Eastern)",2023,10999
"bkbwoo",NA,"69","Picoides arcticus","Black-backed Woodpecker",2023,11000
"y00617",NA,"2","Picoides dorsalis/arcticus","American Three-toed/Black-backed Woodpecker",2023,11001
"dowwoo",NA,"80674","Dryobates pubescens","Downy Woodpecker",2023,11175
"nutwoo",NA,"1535","Dryobates nuttallii","Nuttall's Woodpecker",2023,11185
"labwoo",NA,"1589","Dryobates scalaris","Ladder-backed Woodpecker",2023,11187
"x00620",NA,"1","Dryobates nuttallii x scalaris","Nuttall's x Ladder-backed Woodpecker (hybrid)",2023,11198
"recwoo",NA,"34","Dryobates borealis","Red-cockaded Woodpecker",2023,11201
"haiwoo",NA,"52111","Dryobates villosus","Hairy Woodpecker",2023,11202
"y00322",NA,"58","Dryobates pubescens/villosus","Downy/Hairy Woodpecker",2023,11225
"whhwoo",NA,"187","Dryobates albolarvatus","White-headed Woodpecker",2023,11226
"strwoo",NA,"2","Dryobates stricklandi","Strickland's Woodpecker",2023,11236
"ariwoo",NA,"3","Dryobates arizonae","Arizona Woodpecker",2023,11237
"pabwoo1",NA,"1","Campephilus guatemalensis","Pale-billed Woodpecker",2023,11333
"pilwoo",NA,"19873","Dryocopus pileatus","Pileated Woodpecker",2023,11527
"norfli",NA,"41231","Colaptes auratus","Northern Flicker",2023,11665
"yesfli","norfli","464","Colaptes auratus auratus/luteus","Northern Flicker (Yellow-shafted)",2023,11668
"resfli","norfli","329","Colaptes auratus [cafer Group]","Northern Flicker (Red-shafted)",2023,11671
"rxyfli","norfli","77","Colaptes auratus luteus x cafer","Northern Flicker (Yellow-shafted x Red-shafted)",2023,11677
"gilfli",NA,"165","Colaptes chrysoides","Gilded Flicker",2023,11679
"y00323",NA,"8","Colaptes auratus/chrysoides","Northern/Gilded Flicker",2023,11685
"woodpe1",NA,"14","Picidae sp.","woodpecker sp.",2023,11699
"laufal1",NA,"1","Herpetotheres cachinnans","Laughing Falcon",2023,11704
"baffal1",NA,"1","Micrastur ruficollis","Barred Forest-Falcon",2023,11712
"y00678",NA,"18","Caracara plancus","Crested Caracara",2023,11727
"crecar1","y00678","57","Caracara plancus cheriway","Crested Caracara (Northern)",2023,11728
"leskes1",NA,"1","Falco naumanni","Lesser Kestrel",2023,11756
"amekes",NA,"3706","Falco sparverius","American Kestrel",2023,11791
"amekes1","amekes","128","Falco sparverius [sparverius Group]","American Kestrel (Northern)",2023,11792
"merlin",NA,"2450","Falco columbarius","Merlin",2023,11825
"merlin1","merlin","1","Falco columbarius [aesalon Group]","Merlin (Eurasian)",2023,11826
"taimer1","merlin","3","Falco columbarius columbarius","Merlin (Taiga)",2023,11833
"pramer1","merlin","61","Falco columbarius richardsonii","Merlin (Prairie)",2023,11834
"blkmer1","merlin","48","Falco columbarius suckleyi","Merlin (Black)",2023,11835
"aplfal",NA,"1","Falco femoralis","Aplomado Falcon",2023,11853
"gyrfal",NA,"28","Falco rusticolus","Gyrfalcon",2023,11874
"perfal",NA,"538","Falco peregrinus","Peregrine Falcon",2023,11875
"perfal1","perfal","5","Falco peregrinus anatum","Peregrine Falcon (North American)",2023,11876
"tupfal1","perfal","1","Falco peregrinus calidus/tundrius","Peregrine Falcon (Tundra)",2023,11877
"prafal",NA,"145","Falco mexicanus","Prairie Falcon",2023,11899
"smafal",NA,"5","Falco sp. (small falcon sp.)","small falcon sp.",2023,11903
"falcon",NA,"8","Falco sp.","falcon sp.",2023,11904
"diurap1",NA,"91","Accipitriformes/Falconiformes sp.","diurnal raptor sp.",2023,11905
"cockat",NA,"4","Nymphicus hollandicus","Cockatiel",2023,11931
"eclpar",NA,"1","Eclectus sp.","eclectus sp.",2023,12075
"rorpar",NA,"4","Psittacula krameri","Rose-ringed Parakeet",2023,12111
"budger",NA,"107","Melopsittacus undulatus","Budgerigar",2023,12316
"peflov",NA,"73","Agapornis roseicollis","Rosy-faced Lovebird",2023,12502
"yeclov",NA,"2","Agapornis personatus","Yellow-collared Lovebird",2023,12508
"lovebi1",NA,"5","Agapornis sp.","lovebird sp.",2023,12515
"monpar",NA,"237","Myiopsitta monachus","Monk Parakeet",2023,12576
"monpar1","monpar","17","Myiopsitta monachus [monachus Group]","Monk Parakeet (Monk)",2023,12577
"whwpar",NA,"7","Brotogeris versicolurus","White-winged Parakeet",2023,12586
"yecpar",NA,"9","Brotogeris chiriri","Yellow-chevroned Parakeet",2023,12587
"recpar",NA,"35","Amazona viridigenalis","Red-crowned Parrot",2023,12662
"relpar",NA,"2","Amazona autumnalis","Red-lored Parrot",2023,12666
"yehpar",NA,"2","Amazona oratrix","Yellow-headed Parrot",2023,12682
"ywcpar",NA,"1","Amazona ochrocephala","Yellow-crowned Parrot",2023,12690
"orwpar",NA,"1","Amazona amazonica","Orange-winged Parrot",2023,12727
"mexpar1",NA,"2","Forpus cyanopygius","Mexican Parrotlet",2023,12737
"orfpar",NA,"2","Eupsittula canicularis","Orange-fronted Parakeet",2023,12850
"bkhpar",NA,"44","Aratinga nenday","Nanday Parakeet",2023,12878
"chfmac1",NA,"1","Ara severus","Chestnut-fronted Macaw",2023,12892
"bucpar",NA,"13","Thectocercus acuticaudatus","Blue-crowned Parakeet",2023,12914
"grnpar",NA,"14","Psittacara holochlorus","Green Parakeet",2023,12928
"mitpar",NA,"9","Psittacara mitratus","Mitred Parakeet",2023,12946
"rempar",NA,"9","Psittacara erythrogenys","Red-masked Parakeet",2023,12953
"whepar2",NA,"2","Psittacara leucophthalmus","White-eyed Parakeet",2023,12955
"hispar",NA,"1","Psittacara chloropterus","Hispaniolan Parakeet",2023,12960
"parake",NA,"17","Psittaciformes sp. (parakeet sp.)","parakeet sp.",2023,12965
"parrot",NA,"9","Psittaciformes sp. (parrot sp.)","parrot sp.",2023,12966
"ivbwoo1",NA,"1","Xiphorhynchus flavigaster","Ivory-billed Woodcreeper",2023,14562
"mastit1",NA,"1","Tityra semifasciata","Masked Tityra",2023,15671
"secfly1",NA,"1","Leptopogon amaurocephalus","Sepia-capped Flycatcher",2023,15934
"cotfly1",NA,"1","Todirostrum cinereum","Common Tody-Flycatcher",2023,16126
"nobtyr",NA,"1","Camptostoma imberbe","Northern Beardless-Tyrannulet",2023,16246
"olsfly",NA,"11","Contopus cooperi","Olive-sided Flycatcher",2023,16581
"grepew",NA,"3","Contopus pertinax","Greater Pewee",2023,16583
"wewpew",NA,"26","Contopus sordidulus","Western Wood-Pewee",2023,16603
"eawpew",NA,"171","Contopus virens","Eastern Wood-Pewee",2023,16615
"yebfly",NA,"31","Empidonax flaviventris","Yellow-bellied Flycatcher",2023,16640
"acafly",NA,"19","Empidonax virescens","Acadian Flycatcher",2023,16641
"aldfly",NA,"3","Empidonax alnorum","Alder Flycatcher",2023,16642
"wilfly",NA,"8","Empidonax traillii","Willow Flycatcher",2023,16643
"wilfly1","wilfly","1","Empidonax traillii traillii","Willow Flycatcher (Eastern)",2023,16644
"y00324",NA,"1","Empidonax alnorum/traillii","Alder/Willow Flycatcher (Traill's Flycatcher)",2023,16649
"leafly",NA,"69","Empidonax minimus","Least Flycatcher",2023,16654
"hamfly",NA,"8","Empidonax hammondii","Hammond's Flycatcher",2023,16655
"gryfly",NA,"22","Empidonax wrightii","Gray Flycatcher",2023,16656
"dusfly",NA,"10","Empidonax oberholseri","Dusky Flycatcher",2023,16657
"wesfly",NA,"17","Empidonax difficilis","Western Flycatcher",2023,16666
"pasfly","wesfly","93","Empidonax difficilis [difficilis Group]","Western Flycatcher (Pacific-slope)",2023,16667
"corfly","wesfly","2","Empidonax difficilis occidentalis/hellmayri","Western Flycatcher (Cordilleran)",2023,16671
"empido",NA,"2","Empidonax sp.","Empidonax sp.",2023,16687
"blkpho",NA,"2212","Sayornis nigricans","Black Phoebe",2023,16688
"easpho",NA,"7805","Sayornis phoebe","Eastern Phoebe",2023,16697
"x00621",NA,"1","Sayornis nigricans x phoebe","Black x Eastern Phoebe (hybrid)",2023,16698
"saypho",NA,"750","Sayornis saya","Say's Phoebe",2023,16699
"phoebe1",NA,"7","Sayornis sp.","phoebe sp.",2023,16703
"verfly",NA,"89","Pyrocephalus rubinus","Vermilion Flycatcher",2023,16718
"ducfly",NA,"3","Myiarchus tuberculifer","Dusky-capped Flycatcher",2023,16973
"astfly",NA,"121","Myiarchus cinerascens","Ash-throated Flycatcher",2023,17012
"nutfly",NA,"1","Myiarchus nuttingi","Nutting's Flycatcher",2023,17015
"grcfly",NA,"390","Myiarchus crinitus","Great Crested Flycatcher",2023,17021
"bncfly",NA,"15","Myiarchus tyrannulus","Brown-crested Flycatcher",2023,17022
"grekis",NA,"51","Pitangus sulphuratus","Great Kiskadee",2023,17055
"socfly1",NA,"1","Myiozetetes similis","Social Flycatcher",2023,17079
"trokin",NA,"7","Tyrannus melancholicus","Tropical Kingbird",2023,17139
"coukin",NA,"25","Tyrannus couchii","Couch's Kingbird",2023,17144
"caskin",NA,"159","Tyrannus vociferans","Cassin's Kingbird",2023,17146
"thbkin",NA,"1","Tyrannus crassirostris","Thick-billed Kingbird",2023,17149
"weskin",NA,"154","Tyrannus verticalis","Western Kingbird",2023,17152
"y00619",NA,"30","Tyrannus vociferans/verticalis","Cassin's/Western Kingbird",2023,17154
"easkin",NA,"241","Tyrannus tyrannus","Eastern Kingbird",2023,17156
"grykin",NA,"7","Tyrannus dominicensis","Gray Kingbird",2023,17158
"sctfly",NA,"83","Tyrannus forficatus","Scissor-tailed Flycatcher",2023,17172
"flycat1",NA,"47","Tyrannidae sp.","new world flycatcher sp.",2023,17183
"golvir1",NA,"2","Vireo hypochryseus","Golden Vireo",2023,18808
"bkcvir1",NA,"4","Vireo atricapilla","Black-capped Vireo",2023,18814
"whevir",NA,"442","Vireo griseus","White-eyed Vireo",2023,18816
"belvir",NA,"69","Vireo bellii","Bell's Vireo",2023,18844
"belvir1","belvir","1","Vireo bellii bellii/medius","Bell's Vireo (Eastern)",2023,18845
"belvir2","belvir","1","Vireo bellii arizonae","Bell's Vireo (Arizona)",2023,18848
"gryvir",NA,"32","Vireo vicinior","Gray Vireo",2023,18850
"hutvir",NA,"398","Vireo huttoni","Hutton's Vireo",2023,18851
"hutvir1","hutvir","9","Vireo huttoni [huttoni Group]","Hutton's Vireo (Pacific)",2023,18852
"yetvir",NA,"149","Vireo flavifrons","Yellow-throated Vireo",2023,18867
"casvir",NA,"52","Vireo cassinii","Cassin's Vireo",2023,18870
"buhvir",NA,"473","Vireo solitarius","Blue-headed Vireo",2023,18873
"plsvir",NA,"15","Vireo plumbeus","Plumbeous Vireo",2023,18878
"y00484",NA,"1","Vireo cassinii/plumbeus","Cassin's/Plumbeous Vireo",2023,18886
"solvir1",NA,"27","Vireo cassinii/solitarius/plumbeus","solitary vireo sp.",2023,18887
"phivir",NA,"13","Vireo philadelphicus","Philadelphia Vireo",2023,18889
"warvir",NA,"85","Vireo gilvus","Warbling Vireo",2023,18890
"eawvir1","warvir","1","Vireo gilvus gilvus","Warbling Vireo (Eastern)",2023,18891
"reevir1",NA,"141","Vireo olivaceus","Red-eyed Vireo",2023,18910
"reevir",NA,"1","Vireo olivaceus/chivi","Red-eyed/Chivi Vireo",2023,18926
"yegvir",NA,"5","Vireo flavoviridis","Yellow-green Vireo",2023,18928
"bkwvir",NA,"1","Vireo altiloquus","Black-whiskered Vireo",2023,18933
"vireo1",NA,"14","Vireo sp.","vireo sp.",2023,18945
"brnshr",NA,"1","Lanius cristatus","Brown Shrike",2023,20647
"logshr",NA,"690","Lanius ludovicianus","Loggerhead Shrike",2023,20684
"norshr4",NA,"2936","Lanius borealis","Northern Shrike",2023,20696
"norshr3","norshr4","1","Lanius borealis borealis","Northern Shrike (American)",2023,20702
"y00620",NA,"73","Lanius ludovicianus/borealis","Loggerhead/Northern Shrike",2023,20703
"norshr",NA,"96","Lanius borealis/excubitor","Northern/Great Gray Shrike",2023,20721
"shrike",NA,"29","Lanius sp.","shrike sp.",2023,20767
"gryjay",NA,"3506","Perisoreus canadensis","Canada Jay",2023,20787
"gryjay1","gryjay","1","Perisoreus canadensis [canadensis Group]","Canada Jay (Boreal)",2023,20788
"gryjay3","gryjay","2","Perisoreus canadensis obscurus/griseus","Canada Jay (Pacific)",2023,20796
"btmjay",NA,"7","Calocitta colliei","Black-throated Magpie-Jay",2023,20821
"wtmjay1",NA,"1","Calocitta formosa","White-throated Magpie-Jay",2023,20822
"brnjay",NA,"3","Psilorhinus morio","Brown Jay",2023,20828
"grnjay",NA,"112","Cyanocorax yncas","Green Jay",2023,20837
"sabjay",NA,"1","Cyanocorax sanblasianus","San Blas Jay",2023,20854
"pinjay",NA,"718","Gymnorhinus cyanocephalus","Pinyon Jay",2023,20878
"stejay",NA,"8790","Cyanocitta stelleri","Steller's Jay",2023,20879
"blujay",NA,"76739","Cyanocitta cristata","Blue Jay",2023,20899
"x00622",NA,"4","Cyanocitta stelleri x cristata","Steller's x Blue Jay (hybrid)",2023,20905
"flsjay",NA,"152","Aphelocoma coerulescens","Florida Scrub-Jay",2023,20906
"issjay",NA,"1","Aphelocoma insularis","Island Scrub-Jay",2023,20907
"cowscj1",NA,"4574","Aphelocoma californica","California Scrub-Jay",2023,20908
"wooscj2",NA,"1568","Aphelocoma woodhouseii","Woodhouse's Scrub-Jay",2023,20918
"wooscj1","wooscj2","2","Aphelocoma woodhouseii [woodhouseii Group]","Woodhouse's Scrub-Jay (Woodhouse's)",2023,20919
"wesjay",NA,"27","Aphelocoma californica/woodhouseii","California/Woodhouse's Scrub-Jay",2023,20929
"mexjay4",NA,"73","Aphelocoma wollweberi","Mexican Jay",2023,20930
"mexjay",NA,"45","Aphelocoma wollweberi/ultramarina","Mexican/Transvolcanic Jay",2023,20940
"scrjay",NA,"2931","Aphelocoma sp.","Aphelocoma sp.",2023,20947
"bkbmag1",NA,"5349","Pica hudsonia","Black-billed Magpie",2023,21085
"yebmag",NA,"206","Pica nuttalli","Yellow-billed Magpie",2023,21086
"clanut",NA,"893","Nucifraga columbiana","Clark's Nutcracker",2023,21093
"houcro1",NA,"1","Corvus splendens","House Crow",2023,21130
"amecro",NA,"54596","Corvus brachyrhynchos","American Crow",2023,21168
"fiscro",NA,"1091","Corvus ossifragus","Fish Crow",2023,21181
"chirav",NA,"44","Corvus cryptoleucus","Chihuahuan Raven",2023,21185
"crow",NA,"67","Corvus sp. (crow sp.)","crow sp.",2023,21231
"comrav",NA,"8947","Corvus corax","Common Raven",2023,21235
"raven",NA,"13","Corvus sp. (raven sp.)","raven sp.",2023,21244
"carchi",NA,"25191","Poecile carolinensis","Carolina Chickadee",2023,21671
"bkcchi",NA,"70202","Poecile atricapillus","Black-capped Chickadee",2023,21676
"x00195",NA,"11","Poecile carolinensis x atricapillus","Carolina x Black-capped Chickadee (hybrid)",2023,21686
"y00033",NA,"15709","Poecile carolinensis/atricapillus","Carolina/Black-capped Chickadee",2023,21687
"mouchi",NA,"5586","Poecile gambeli","Mountain Chickadee",2023,21688
"x00623",NA,"7","Poecile atricapillus x gambeli","Black-capped x Mountain Chickadee (hybrid)",2023,21697
"chbchi",NA,"6621","Poecile rufescens","Chestnut-backed Chickadee",2023,21705
"borchi2",NA,"4071","Poecile hudsonicus","Boreal Chickadee",2023,21710
"gyhchi",NA,"3","Poecile cinctus","Gray-headed Chickadee",2023,21718
"chicka1",NA,"3","Poecile sp.","chickadee sp.",2023,21724
"britit",NA,"204","Baeolophus wollweberi","Bridled Titmouse",2023,21756
"oaktit",NA,"2576","Baeolophus inornatus","Oak Titmouse",2023,21761
"juntit1",NA,"997","Baeolophus ridgwayi","Juniper Titmouse",2023,21766
"y00326",NA,"853","Baeolophus inornatus/ridgwayi","Oak/Juniper Titmouse (Plain Titmouse)",2023,21770
"tuftit",NA,"55697","Baeolophus bicolor","Tufted Titmouse",2023,21771
"blctit4",NA,"1157","Baeolophus atricristatus","Black-crested Titmouse",2023,21774
"bcxtit1",NA,"11","Baeolophus bicolor x atricristatus","Tufted x Black-crested Titmouse (hybrid)",2023,21778
"y00327",NA,"34","Baeolophus bicolor/atricristatus","Tufted/Black-crested Titmouse",2023,21779
"gretit1",NA,"2","Parus major","Great Tit",2023,21786
"gretit3","gretit1","1","Parus major [major Group]","Great Tit (Great)",2023,21787
"verdin",NA,"650","Auriparus flaviceps","Verdin",2023,21876
"horlar",NA,"249","Eremophila alpestris","Horned Lark",2023,22182
"horlar3","horlar","2","Eremophila alpestris [alpestris Group]","Horned Lark (Eastern dark Group)",2023,22200
"horlar1","horlar","2","Eremophila alpestris [strigata Group]","Horned Lark (Western rufous Group)",2023,22216
"skylar",NA,"2","Alauda arvensis","Eurasian Skylark",2023,22332
"banswa",NA,"8","Riparia riparia","Bank Swallow",2023,23636
"treswa",NA,"847","Tachycineta bicolor","Tree Swallow",2023,23649
"manswa1",NA,"1","Tachycineta albilinea","Mangrove Swallow",2023,23655
"vigswa",NA,"200","Tachycineta thalassina","Violet-green Swallow",2023,23659
"purmar",NA,"269","Progne subis","Purple Martin",2023,23666
"purmar1","purmar","2","Progne subis subis/arboricola","Purple Martin (subis/arboricola)",2023,23667
"martin1",NA,"1","Progne sp.","new world martin sp. (Progne sp.)",2023,23690
"nrwswa",NA,"40","Stelgidopteryx serripennis","Northern Rough-winged Swallow",2023,23691
"nrwswa1","nrwswa","4","Stelgidopteryx serripennis [serripennis Group]","Northern Rough-winged Swallow (Northern)",2023,23692
"barswa",NA,"278","Hirundo rustica","Barn Swallow",2023,23772
"barswa2","barswa","1","Hirundo rustica rustica","Barn Swallow (White-bellied)",2023,23773
"barswa5","barswa","1","Hirundo rustica erythrogaster","Barn Swallow (American)",2023,23780
"cliswa",NA,"39","Petrochelidon pyrrhonota","Cliff Swallow",2023,23861
"cavswa",NA,"5","Petrochelidon fulva","Cave Swallow",2023,23869
"cavswa3","cavswa","1","Petrochelidon fulva pallida","Cave Swallow (Texas)",2023,23875
"swallo",NA,"5","Hirundinidae sp.","swallow sp.",2023,23885
"rewbul",NA,"36","Pycnonotus jocosus","Red-whiskered Bulbul",2023,24315
"revbul",NA,"19","Pycnonotus cafer","Red-vented Bulbul",2023,24335
"woowar",NA,"1","Phylloscopus sibilatrix","Wood Warbler",2023,24372
"palwar5",NA,"2","Phylloscopus proregulus","Pallas's Leaf Warbler",2023,24390
"bushti",NA,"6457","Psaltriparus minimus","Bushtit",2023,24829
"bushti1","bushti","1","Psaltriparus minimus [minimus Group]","Bushtit (Pacific)",2023,24830
"bushti2","bushti","2","Psaltriparus minimus plumbeus","Bushtit (Interior)",2023,24836
"easwar1",NA,"1","Curruca cantillans","Eastern Subalpine Warbler",2023,24932
"wrenti",NA,"205","Chamaea fasciata","Wrentit",2023,25004
"swiwhe1",NA,"21","Zosterops simplex","Swinhoe's White-eye",2023,25189
"warwhe1",NA,"14","Zosterops japonicus","Warbling White-eye",2023,25200
"reblei",NA,"1","Leiothrix lutea","Red-billed Leiothrix",2023,26113
"ruckin",NA,"12506","Corthylio calendula","Ruby-crowned Kinglet",2023,26391
"gockin",NA,"6195","Regulus satrapa","Golden-crowned Kinglet",2023,26395
"y00425",NA,"15","Corthylio calendula/Regulus satrapa","Ruby-crowned/Golden-crowned Kinglet",2023,26402
"whbnut",NA,"67821","Sitta carolinensis","White-breasted Nuthatch",2023,26436
"whbnut2","whbnut","10","Sitta carolinensis carolinensis","White-breasted Nuthatch (Eastern)",2023,26437
